,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
1523,Maslam,"Afro-Asiatic, Chadic, Biu–Mandara, Kotoko,  (B.), North, Maslam","Afro-Asiatic, Chadic, Biu–Mandara, Kotoko,  (B.), North, Maslam",msv,masl1241,250 ,"Far North Province, Cameroon; west Chad",Unknown,Unknown,https://en.wikipedia.org/wiki/Maslam_language
1524,Manang,"Sino-Tibetan, Tamangic, MaUknowng","Sino-Tibetan, Tamangic, MaUknowng",nmm,mana1288,390 ,Manang District,Unknown,Unknown,https://en.wikipedia.org/wiki/Nyishangba_language
1525,Atacama_people,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Atacama_people
1526,Uspantek,"Mayan, Quichean–Mamean, Greater Quichean, Uspantek","Mayan, Quichean–Mamean, Greater Quichean, Uspantek",usp,uspa1245,"5,100 ",Quiché (department),Unknown,Unknown,https://en.wikipedia.org/wiki/Uspantek_language
1527,Sakapultek,"Mayan, Quichean–Mamean, Greater Quichean, Sakapultek","Mayan, Quichean–Mamean, Greater Quichean, Sakapultek",quv,saca1238,"6,500 ",El Quiché,Unknown,Guatemala,https://en.wikipedia.org/wiki/Sakapultek_language
1528,Harsusi,"Afro-Asiatic, Semitic, West Semitic, South Semitic, Modern South Arabian, Harsusi","Afro-Asiatic, Semitic, West Semitic, South Semitic, Modern South Arabian, Harsusi",hss,hars1241,600 ,"Jiddat al-Harasis, Dhofar Province",Unknown,Unknown,https://en.wikipedia.org/wiki/%E1%B8%A4arsusi_language
1529,Sentinelese,"Unclassified,  (possiblyOngan, )","Unclassified,  (possiblyOngan, )",std,sent1241,250 ,"North Sentinel Island, in the southwest of the Andaman and Nicobar Islands",Unknown,Unknown,https://en.wikipedia.org/wiki/Sentinelese_language
1530,Mattole,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Mattole
1531,Tindi,"Northeast Caucasian, Avar–Andic, Andic, Akhvakh–Tindi, Karata–Tindi, Botlikh–Tindi, Bagvalal–Tindi, Tindi","Northeast Caucasian, Avar–Andic, Andic, Akhvakh–Tindi, Karata–Tindi, Botlikh–Tindi, Bagvalal–Tindi, Tindi",tin,tind1238,"2,200 ",Southern Dagestan,Unknown,Unknown,https://en.wikipedia.org/wiki/Tindi_language
1532,Quechan,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Quechan
1533,Ancash Quechua,"Quechua, Quechua I, Central, Ancash Quechua","Quechua, Quechua I, Central, Ancash Quechua",Variously:titleqwatitle – titleCorongotitleqwhtitle – titleHuaylastitleqxntitle – titleNorte de Conchucostitleqwstitle – titleSihuastitleqxotitle – titleSur de Conchucostitleqvhtitle – Huamalíes y Norte de Dos de Mayo,huay1239,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Ancash_Quechua
1534,Massep,"Northwest Papuan,Foja Range, Kwerbic, Massep","Northwest Papuan,Foja Range, Kwerbic, Massep",mvs,mass1263,25 ,"Papua: Sarmi Regency, West Pantai District, north coast (Masep village); also west of Sarmi near Apauwer River",Unknown,Unknown,https://en.wikipedia.org/wiki/Massep_language
1535,Kaw%C3%A9sqar,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Kaw%C3%A9sqar
1536,Xakriab%C3%A1,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Xakriab%C3%A1
1537,Havasupai,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Havasupai
1538,Pendau,"Austronesian, Malayo-Polynesian, Celebic, Tomini–Tolitoli, \xa, Tomini, Southern Tomini, Pendau","Austronesian, Malayo-Polynesian, Celebic, Tomini–Tolitoli, \xa, Tomini, Southern Tomini, Pendau",ums,pend1242,3940 ,Central Sulawesi,Unknown,Unknown,https://en.wikipedia.org/wiki/Pendau_language
1539,Kaxararí,"Panoan, Mainline Panoan, Kaxararí","Panoan, Mainline Panoan, Kaxararí",ktx,kaxa1239,270 ,,Unknown,Unknown,https://en.wikipedia.org/wiki/Kasharari_language
1540,Brokpa,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Brokpa
1541,Southern Popoloca,"Oto-Manguean, Popolocan, Chocho–Popoloca, Popoloca, Southern Popoloca","Oto-Manguean, Popolocan, Chocho–Popoloca, Popoloca, Southern Popoloca",Either:titlepoetitle – San Juan Atzingotitlepbetitle – Metzontla,sanj1285title  San Juan Atzingotitlemezo1235title  Mezontla,Uknown,Puebla,Unknown,Unknown,https://en.wikipedia.org/wiki/Southern_Popoloca_language
1542,Sherpa ,"Sino-Tibetan, Tibeto-Burman, Tibeto-Kanauri,  Bodish, Tibetic, Southern Tibetic, Sherpa\xa","Sino-Tibetan, Tibeto-Burman, Tibeto-Kanauri,  Bodish, Tibetic, Southern Tibetic, Sherpa\xa",xsr,sher1255,"140,000 ","Nepal, Sikkim, Tibet"," Nepal India
Sikkim (additional)
",Unknown,https://en.wikipedia.org/wiki/Sherpa_language
1543,Lamas Quechua,"Quechua, Quechua II, Northern, Lowland Peruvian, Lamas Quechua","Quechua, Quechua II, Northern, Lowland Peruvian, Lamas Quechua",qvs,sanm1289,"15,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/San_Mart%C3%ADn_Quechua
1544,Megleno-Romanian,"Indo-European, Italic, Latino-Faliscan, Latin, Romance, Eastern Romance, , Northern or Southern Romanian, a, Megleno-Romanian","Indo-European, Italic, Latino-Faliscan, Latin, Romance, Eastern Romance, , Northern or Southern Romanian, a, Megleno-Romanian",ruq,megl1237,"5,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Megleno-Romanian_language
1545,Bohtan Neo-Aramaic,"Afro-Asiatic, Semitic, Central Semitic, Aramaic, Eastern Aramaic, Northeastern, Assyrian Neo-Aramaic, Bohtan Neo-Aramaic","Afro-Asiatic, Semitic, Central Semitic, Aramaic, Eastern Aramaic, Northeastern, Assyrian Neo-Aramaic, Bohtan Neo-Aramaic",bhn,boht1238,760 ,"Krymsk, Novopavlovsk, Kvemo Kartli",Unknown,Unknown,https://en.wikipedia.org/wiki/Neo-Aramaic_dialect_of_Bohtan
