iso6393,glottocode,aes_status,Wikipedia_Url
hmb,humb1243,not endangered,https://en.wikipedia.org/wiki/Humburi_Senni_language
hmc,cent2013,not endangered,
hmd,larg1235,not endangered,https://en.wikipedia.org/wiki/A-Hmao_language
hme,east2372,threatened,
hmf,hmon1263,not endangered,
hmg,sout2756,not endangered,
hmh,sout2755,not endangered,
hmi,nort2749,not endangered,
hmj,geee1239,threatened,https://en.wikipedia.org/wiki/Gejia_language
hml,luop1235,not endangered,https://en.wikipedia.org/wiki/Luobohe_Miao_language
hmm,cent1394,not endangered,
hmo,hiri1237,not endangered,https://en.wikipedia.org/wiki/Hiri_Motu
hmp,nort1546,not endangered,
hmq,east2370,not endangered,
hmr,hmar1241,threatened,https://en.wikipedia.org/wiki/Hmar_language
hms,sout2754,not endangered,
hmt,hamt1247,threatened,https://en.wikipedia.org/wiki/Hamtai_language
hmu,hama1240,threatened,
hmv,hmon1332,not endangered,
hmw,west1507,threatened,
hmy,sout1555,not endangered,
hmz,hmon1331,not endangered,
hna,mina1276,not endangered,https://en.wikipedia.org/wiki/Hina_language
hnd,sout2668,not endangered,https://en.wikipedia.org/wiki/Hindko
hne,chha1249,not endangered,https://en.wikipedia.org/wiki/Chhattisgarhi_language
hng,hung1280,threatened,
hnh,anii1246,shifting,
hni,hani1248,not endangered,https://en.wikipedia.org/wiki/Hani_language
hnj,hmon1264,not endangered,
hnn,hanu1241,not endangered,https://en.wikipedia.org/wiki/Hanunoo_language
hno,nort2662,not endangered,https://en.wikipedia.org/wiki/Hazara_Hindko
hns,cari1275,not endangered,https://en.wikipedia.org/wiki/Caribbean_Hindustani
hnu,hung1275,shifting,
hoa,hoav1238,shifting,https://en.wikipedia.org/wiki/Hoava_language
hob,mari1429,not endangered,https://en.wikipedia.org/wiki/Mari_language_(Madang_Province)
hoc,hooo1248,not endangered,https://en.wikipedia.org/wiki/Ho_language
hod,holm1250,extinct,https://en.wikipedia.org/wiki/Holma_language
hoe,horo1245,threatened,https://en.wikipedia.org/wiki/Horom_language
hoh,hoby1242,shifting,https://en.wikipedia.org/wiki/Hoby%C3%B3t_language
hoi,holi1241,extinct,https://en.wikipedia.org/wiki/Holikachuk_language
hoj,hado1235,not endangered,https://en.wikipedia.org/wiki/Harauti_language
hol,holu1245,not endangered,https://en.wikipedia.org/wiki/Holu_language
hom,homa1239,extinct,https://en.wikipedia.org/wiki/Homa_language
hoo,holo1240,threatened,https://en.wikipedia.org/wiki/Holoholo_language
hop,hopi1249,shifting,https://en.wikipedia.org/wiki/Hopi_language
hor,horo1247,extinct,https://en.wikipedia.org/wiki/Horo_language
hos,hoch1237,shifting,https://en.wikipedia.org/wiki/Saigon_Sign_Language
hot,hote1245,not endangered,https://en.wikipedia.org/wiki/Hote_language
hov,hovo1239,threatened,https://en.wikipedia.org/wiki/Hovongan_language
how,honi1244,not endangered,https://en.wikipedia.org/wiki/Honi_language
hoy,holi1239,threatened,https://en.wikipedia.org/wiki/Holiya_language
hoz,hozo1236,shifting,https://en.wikipedia.org/wiki/Hozo_language
hpo,hpon1238,extinct,https://en.wikipedia.org/wiki/Hpon_language
hps,hawa1235,nearly extinct,https://en.wikipedia.org/wiki/Hawai%CA%BBi_Sign_Language
hra,hran1239,threatened,https://en.wikipedia.org/wiki/Hrangkhol_language
hrc,niwe1234,not endangered,https://en.wikipedia.org/wiki/Niwer_Mil_language
hre,hree1244,not endangered,https://en.wikipedia.org/wiki/Hr%C3%AA_language
hrk,haru1244,moribund,https://en.wikipedia.org/wiki/Haruku_language
hrm,horn1235,not endangered,
hro,haro1237,shifting,https://en.wikipedia.org/wiki/Haroi_language
hrp,nhir1234,extinct,
hrt,hert1241,moribund,https://en.wikipedia.org/wiki/Neo-Aramaic_dialect_of_Hertevin
hru,hrus1242,shifting,https://en.wikipedia.org/wiki/Hruso_language
hrv,croa1245,shifting,https://en.wikipedia.org/wiki/Croatian_language
hrx,riog1239,shifting,https://en.wikipedia.org/wiki/Hunsrik
hrz,harz1239,threatened,https://en.wikipedia.org/wiki/Harzandi_dialect
hsb,uppe1395,threatened,https://en.wikipedia.org/wiki/Upper_Sorbian_language
hsh,hung1263,not endangered,https://en.wikipedia.org/wiki/Hungarian_Sign_Language
