,iso6393,glottocode,aes_status
648,bfz,maha1287,not endangered
649,bga,gwam1244,threatened
650,bgb,bobo1255,shifting
651,bgc,hary1238,not endangered
652,bgd,rath1242,not endangered
653,bge,baur1251,not endangered
654,bgf,bang1347,shifting
655,bgg,bugu1246,shifting
656,bgi,gian1241,shifting
657,bgj,bang1356,not endangered
658,bgk,bitt1240,moribund
659,bgl,bola1249,threatened
660,bgn,west2368,not endangered
661,bgo,baga1273,shifting
662,bgp,east2304,not endangered
663,bgq,bagr1243,not endangered
664,bgr,bawm1236,threatened
665,bgs,taga1272,not endangered
666,bgt,bugh1239,not endangered
667,bgu,mbon1253,shifting
668,bgv,wark1247,shifting
669,bgw,bhat1265,not endangered
670,bgx,balk1254,shifting
671,bgy,beng1287,shifting
672,bgz,bang1368,shifting
673,bha,bhar1241,not endangered
674,bhb,bhil1251,not endangered
675,bhc,biga1238,shifting
676,bhd,bhad1241,threatened
677,bhe,bhay1238,shifting
678,bhf,odia1239,shifting
679,bhg,bina1277,not endangered
680,bhh,bukh1238,not endangered
681,bhi,bhil1253,not endangered
682,bhj,bahi1252,nearly extinct
683,bhl,bimi1240,threatened
684,bhm,bath1244,moribund
685,bhn,boht1238,moribund
686,bho,bhoj1244,not endangered
687,bhp,bima1247,not endangered
688,bhq,tuka1249,not endangered
689,bhr,bara1369,not endangered
690,bhs,buwa1243,not endangered
691,bht,bhat1263,not endangered
692,bhu,bhun1242,threatened
693,bhv,baha1257,threatened
694,bhw,biak1248,threatened
695,bhx,bhal1245,not endangered
696,bhy,bhel1238,threatened
697,bhz,bada1261,not endangered
698,bia,badi1246,extinct
699,bib,biss1248,not endangered
700,bic,bika1251,shifting
701,bid,bidi1241,not endangered
702,bie,bepo1240,moribund
703,bif,biaf1240,threatened
704,big,bian1252,not endangered
705,bil,bile1244,threatened
706,bim,bimo1239,threatened
707,bin,bini1246,not endangered
708,bio,naii1241,shifting
709,bip,bila1255,not endangered
710,biq,bipi1237,not endangered
711,bir,biso1243,shifting
