,lang,family,dialects,iso3code,glottocode,speakers,regions,off_lang,rec_min_lang,url
2368,Sherpa ,"Sino-Tibetan, Tibeto-Burman, Tibeto-Kanauri,  Bodish, Tibetic, Southern Tibetic, Sherpa\xa","Sino-Tibetan, Tibeto-Burman, Tibeto-Kanauri,  Bodish, Tibetic, Southern Tibetic, Sherpa\xa",xsr,sher1255,"140,000 ","Nepal, Sikkim, Tibet"," Nepal India
Sikkim (additional)
",Unknown,https://en.wikipedia.org/wiki/Sherpa_language
2369,Shipibo-Conibo,"Panoan, Mainline Panoan, Nawa, Chama, Shipibo-Conibo","Panoan, Mainline Panoan, Nawa, Chama, Shipibo-Conibo",Either:titleshptitle – Shipibo-Conibotitlekaqtitle – Tapiche Capanahua,ship1253,"26,000 ",Ucayali Region,Unknown,Unknown,https://en.wikipedia.org/wiki/Shipibo_language
2370,Shipibo-Conibo,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Shipibo-Conibo
2371,Shiriana,"Arawakan, Northern, Upper Amazonian, Manao, Shiriana","Arawakan, Northern, Upper Amazonian, Manao, Shiriana",xir,xiri1243,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Xiri%C3%A2na
2372,Shixing_County,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Shixing_County
2373,Shompen_people,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Shompen_people
2374,Shona,"Niger–Congo,Atlantic–Congo, Volta-Congo, Benue–Congo, Bantoid, Southern Bantoid, Bantu, Shona languages,  (S.), Shona","Niger–Congo,Atlantic–Congo, Volta-Congo, Benue–Congo, Bantoid, Southern Bantoid, Bantu, Shona languages,  (S.), Shona","Variously:titlesnatitle – Zezuru, Karanga, Korekoretitletwltitle – Tavara (Korekore)titlemxctitle – titleManyikatitletwxtitle – titleTewe (Manyika)",core1255title  Core Shonatitletawa1270title  Tawara,"6.5 million, Shona proper ",Southern Africa,Zimbabwe,Mozambique,https://en.wikipedia.org/wiki/Shona_language
2375,Shoshoni,"Uto-Aztecan, Northern, Numic, Central, Shoshoni","Uto-Aztecan, Northern, Numic, Central, Shoshoni",shh,shos1248,"~1,000 ","Wyoming, Utah, Nevada, Idaho",Unknown,Unknown,https://en.wikipedia.org/wiki/Shoshoni_language
2376,Shua,"Khoe–Kwadi, Khoe, Kalahari (Tshu–Khwe), East, Shua","Khoe–Kwadi, Khoe, Kalahari (Tshu–Khwe), East, Shua",shg,shua1254,"2,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Danisi_language
2377,Shua,"Khoe–Kwadi, Khoe, Kalahari (Tshu–Khwe), East, Shua","Khoe–Kwadi, Khoe, Kalahari (Tshu–Khwe), East, Shua",shg,shua1254,"2,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Deti_language
2378,Shua,"Khoe–Kwadi, Khoe, Kalahari (Tshu–Khwe), East, Shua","Khoe–Kwadi, Khoe, Kalahari (Tshu–Khwe), East, Shua",shg,shua1254,"2,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Xaise_language
2379,Shuar,"Chicham, Shuar","Chicham, Shuar",jiv,shua1257,"35,000 ",,Unknown,Ecuador,https://en.wikipedia.org/wiki/Shuar_language
2380,Shughni,"Indo-European, Indo-Iranian, Iranian, Eastern Iranian, Shugni–Yazgulami, ShughUknowni, Shughni","Indo-European, Indo-Iranian, Iranian, Eastern Iranian, Shugni–Yazgulami, ShughUknowni, Shughni",sgh,shug1248,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Roshorvi_language
2381,Shughni,"Indo-European, Indo-Iranian, Iranian, Eastern Iranian, Shugni–Yazgulami, ShughUknowni, Shughni","Indo-European, Indo-Iranian, Iranian, Eastern Iranian, Shugni–Yazgulami, ShughUknowni, Shughni",sgh,shug1248,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Shughni_language
2382,Shumashti,"Indo-European, Indo-Iranian, Indo-Aryan, Dardic, Kunar, Shumashti","Indo-European, Indo-Iranian, Indo-Aryan, Dardic, Kunar, Shumashti",sts,shum1235,Uknown,Kunar Province,Unknown,Unknown,https://en.wikipedia.org/wiki/Shumashti_language
2383,Shuswap,"Salishan, Interior Salish, Northern, Shuswap","Salishan, Interior Salish, Northern, Shuswap",shs,shus1248,200 ,Central and Southern Interior of British Columbia,Unknown,Unknown,https://en.wikipedia.org/wiki/Shuswap_language
2384,Sibe,"Tungusic, Southern, Jurchenic, Manchu, –Xibe, Sibe","Tungusic, Southern, Jurchenic, Manchu, –Xibe, Sibe",sjo,xibe1242,"30,000 ",Xinjiang[2],Unknown,Unknown,https://en.wikipedia.org/wiki/Xibe_language
2385,Siberia,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Siberia
2386,Sicilian,"Indo-European, Italic, Latino-Faliscan, Latin, Romance, Italo-Western, Italo-Dalmatian, Italo-Romance, Extreme Southern Italian, Sicilian","Indo-European, Italic, Latino-Faliscan, Latin, Romance, Italo-Western, Italo-Dalmatian, Italo-Romance, Extreme Southern Italian, Sicilian",scn,sici1248,4.7 million ,Sicily,Unknown,Sicily (limited recognition),https://en.wikipedia.org/wiki/Sicilian_language
2387,Sicily,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Sicily
2388,Siddha%E1%B9%83_alphabet,Uknown,Uknown,Not provided,,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Siddha%E1%B9%83_alphabet
2389,Sierra Popoluca,"Mixe–Zoquean, Zoquean, Gulf Zoquean, Sierra Popoluca","Mixe–Zoquean, Zoquean, Gulf Zoquean, Sierra Popoluca",poi,high1276,"36,000 ",Veracruz,Unknown,Unknown,https://en.wikipedia.org/wiki/Sierra_Popoluca
2390,Sierra Puebla Nahuatl,"Uto-Aztecan, Aztecan (Nahuan), Nahuatl, Eastern Peripheral Nahuatl, Sierra Puebla Nahuatl","Uto-Aztecan, Aztecan (Nahuan), Nahuatl, Eastern Peripheral Nahuatl, Sierra Puebla Nahuatl",Variously:titleazztitle – Highland Puebla Nahuatl (titleZacapoaxtlatitle)titlencjtitle – Northern Puebla Nahuatl (titleNaupantitle)titlenhititle – TeNot providedgo Nahuatl (titleZacatlántitle–titleAhuacatlántitle–titleTepetzintlatitle),high1278title  Highland Pueblatitlenort2957title  Northern Pueblatitlezaca1241title  Zacatlan–Ahuacatlan–Tepetzintla,Uknown,Puebla,Unknown,Unknown,https://en.wikipedia.org/wiki/Sierra_Puebla_Nahuatl
