Name in English,Number of speakers,Degree of endangerment,Wikipedia URL
Ngangikurunggurr,60,Severely endangered,https://en.wikipedia.org/wiki/Ngandi_language
Olultecan,60,Severely endangered,https://en.wikipedia.org/wiki/Oluta_Popoluca
Senaya,60,Critically endangered,https://en.wikipedia.org/wiki/Christian_Neo-Aramaic_dialect_of_Senaya
Tahltan,60,Critically endangered,https://en.wikipedia.org/wiki/Tahltan
Tembé,60,Severely endangered,https://en.wikipedia.org/wiki/Temb%C3%A9
Mosimo,58,Severely endangered,https://en.wikipedia.org/wiki/Mossimo
Tapayuna,58,Severely endangered,https://en.wikipedia.org/wiki/Tapayuna_language
Bepour,57,Severely endangered,https://en.wikipedia.org/wiki/Bepour_language
Faita,57,Severely endangered,https://en.wikipedia.org/wiki/Faita
Teribe (Costa Rica),57,Critically endangered,https://en.wikipedia.org/wiki/Teribe_language
Kiliwa,56,Critically endangered,https://en.wikipedia.org/wiki/Kiliwa
Moere,56,Severely endangered,https://en.wikipedia.org/wiki/Moere
Baure,55,Critically endangered,https://en.wikipedia.org/wiki/Baure
Southern Haida,55,Critically endangered,https://en.wikipedia.org/wiki/Haida_language
Tlingit (Canada),55,Critically endangered,https://en.wikipedia.org/wiki/Tlingit_language
Upper Tanana (United States of America),55,Critically endangered,https://en.wikipedia.org/wiki/Upper_Tanana_language
Zapotec of Asunción Tlacolulita,53,Critically endangered,https://en.wikipedia.org/wiki/Tlacolulita_Zapotec
Trumai,51,Critically endangered,https://en.wikipedia.org/wiki/Trumai
Arabela,50,Severely endangered,https://en.wikipedia.org/wiki/Arabela
Arha,50,Critically endangered,https://en.wikipedia.org/wiki/Arha
Banjima,50,Severely endangered,https://en.wikipedia.org/wiki/Panyjima
Bella Coola,50,Critically endangered,https://en.wikipedia.org/wiki/Bella_Coola
Budong-Budong,50,Critically endangered,https://en.wikipedia.org/wiki/Budong-Budong_language
Bulgebi,50,Definitely endangered,https://en.wikipedia.org/wiki/Bulgebi_language
Chiquitano (Brazil),50,Critically endangered,https://en.wikipedia.org/wiki/Chiquitano_language
Forest Yukagir,50,Critically endangered,https://en.wikipedia.org/wiki/Yukaghir_language
Gorovu,50,Severely endangered,https://en.wikipedia.org/wiki/Gorovu_language
Iduh (Lao PDR),50,Critically endangered,https://en.wikipedia.org/wiki/Iduh_language
Karaim (Lithuania),50,Severely endangered,https://en.wikipedia.org/wiki/Karaim_language
Kasong,50,Critically endangered,https://en.wikipedia.org/wiki/Kasong_language
Kayupulau,50,Critically endangered,https://en.wikipedia.org/wiki/Kayupulau_language
Lolak,50,Critically endangered,https://en.wikipedia.org/wiki/Lolak_language
Maku'a,50,Critically endangered,https://en.wikipedia.org/wiki/Makuva_language
Makurap,50,Severely endangered,https://en.wikipedia.org/wiki/Makurap_language
Miriwoong,50,Critically endangered,https://en.wikipedia.org/wiki/Miriwoong_people
Moraori,50,Severely endangered,https://en.wikipedia.org/wiki/Moraori_language
Nakkara,50,Severely endangered,https://en.wikipedia.org/wiki/Nakkara_language
Ngarinman,50,Severely endangered,https://en.wikipedia.org/wiki/Ngarinman
Norfolk-Pitcairn (Pitcairn),50,Vulnerable,https://en.wikipedia.org/wiki/Norfolk_language
Omaha-Ponca,50,Critically endangered,https://en.wikipedia.org/wiki/Omaha%E2%80%93Ponca_language
Omotik,50,Critically endangered,https://en.wikipedia.org/wiki/Omotik_language
Onge,50,Critically endangered,https://en.wikipedia.org/wiki/Onge
Patua,50,Critically endangered,https://en.wikipedia.org/wiki/Patua
Paulohi,50,Critically endangered,https://en.wikipedia.org/wiki/Paulohi_language
Potawatomi (Kansas),50,Critically endangered,https://en.wikipedia.org/wiki/Potawatomi_language
Potawatomi (Michigan),50,Critically endangered,https://en.wikipedia.org/wiki/Potawatomi_language
Potawatomi (Oklahoma),50,Critically endangered,https://en.wikipedia.org/wiki/Potawatomi_language
Potawatomi (Wisconsin),50,Critically endangered,https://en.wikipedia.org/wiki/Potawatomi_language
Salas,50,Severely endangered,https://en.wikipedia.org/wiki/Salas
Samray,50,Critically endangered,"https://en.wikipedia.org/wiki/Samre,_Bangkok"
Sapé,50,Critically endangered,https://en.wikipedia.org/wiki/Sape
Sentilese,50,Critically endangered,https://en.wikipedia.org/wiki/Sentinelese_language
Sian,50,Severely endangered,https://en.wikipedia.org/wiki/Sian
