,lang,family,dialects,iso3code,goglottocodettolog,speakers,regions,off_lang,rec_min_lang,url
482,Boro,"['Sino-Tibetan', 'Tibeto-Burman', 'Central Tibeto-Burman languages', ' (?)', 'Sal', 'Boro–Garo', 'Boroic', 'Boro']",,brx,bodo1269,1.4 million (2011 census)[1],Bodoland (Assam),"India
Assam
",,https://en.wikipedia.org/wiki/Bodo_language
483,Hardap_Region,,,,,,,,,https://en.wikipedia.org/wiki/Hardap_Region
484,Autonomous_regions_of_China,,,,,,,,,https://en.wikipedia.org/wiki/Autonomous_regions_of_China
485,United_Kingdom,,,,,,,,,https://en.wikipedia.org/wiki/United_Kingdom
486,Depok,,,,,,,,,https://en.wikipedia.org/wiki/Depok
487,Mongolian,"['Mongolic', '\nCentral Mongolic', 'Buryat', '–Mongolian', 'Mongolian']","['Khalkha', 'Oirat', 'Peripheral']",montitle – inclusive codetitleIndividual codes:titlekhktitle – Khalkha Mongoliantitlemvftitle – Peripheral Mongolian (part),mong1331,(8-9 million cited 1982–2020)[1],"All of Mongolia, Inner Mongolia, Buryatia, Kalmykia; parts of Irkutsk Oblast, Zabaykalsky Krai in Russia; parts of Liaoning, Jilin, Heilongjiang, Xinjiang, Gansu and Qinghai provinces in China; Issyk-Kul Region in Kyrgyzstan"," Mongolia China
Inner Mongolia[2]
Xinjiang
Bortala Mongol Autonomous Prefecture
Bayingolin Mongol Autonomous Prefecture
Hoboksar Mongol Autonomous County
Qinghai
Haixi Mongol and Tibetan Autonomous Prefecture
",,https://en.wikipedia.org/wiki/Mongolian_language
488,Cornwall,,,,,,South West England,,,https://en.wikipedia.org/wiki/Cornwall
489,Tangut_Empire,,,,,,,,,https://en.wikipedia.org/wiki/Tangut_Empire
490,Kosrae,,,,,,,,,https://en.wikipedia.org/wiki/Kosrae
491,Nyang'i,"['Nilo-Saharan', '?\n', 'Kuliak', ""Nyang'i–"", 'Soo', ""Nyang'i""]",,nyp,nyan1313,None1 semi-speaker (2017),Uganda,,,https://en.wikipedia.org/wiki/Nyangia_language
492,Basque,['Language isolate'],"['Biscayan', 'Gipuzkoan', 'Upper Navarrese', 'Navarro-Lapurdian', 'Eastern Navarrese', ' ', '†', 'Souletin (Zuberoan)', 'Alavese', ' ', '†', 'Salazarese', ' ', '†']",eus,basq1248,"750,000 (2016)[1]434,000 passive speakers[1] and 6,000 monoglots[2][3]",Basque Country,"Spain
Basque Autonomous Community
Navarre (co-official in the Basque-speaking area of Navarre)
","France
Pyrénées-Atlantiques, Nouvelle-Aquitaine
",https://en.wikipedia.org/wiki/Basque_language
493,Delhi,,,,,,North India,,,https://en.wikipedia.org/wiki/Delhi
494,Republic_of_France,,,,,,,,,https://en.wikipedia.org/wiki/Republic_of_France
495,Zhejiang,,,,,,,,,https://en.wikipedia.org/wiki/Zhejiang
496,Arvanitika,"['Indo-European', 'Albanian', 'Tosk', 'Arvanitika']","['Viotia Arvanitika', 'Attiki Arvanitika', 'Salamina Arvanitika', 'Evia Arvanitika']",aat,arva1236,"50,000 (2007)[3](may be republished older data)","Attica, Boeotia, South Euboea, Saronic Islands; Western Thrace; Peloponnese; some villages in NW of Greece; N of island of Andros; more than 500 villages in total[1]",,,https://en.wikipedia.org/wiki/Arvanitika
497,Tsez,"['Northeast Caucasian', 'Tsezic', 'Tsez–Hinukh', 'Tsez']",,ddo,dido1241,"13,000 (2010 census)[1]",Southern Dagestan,,,https://en.wikipedia.org/wiki/Tsez_language
498,Tunisia,,,,,,,,,https://en.wikipedia.org/wiki/Tunisia
499,Jordan,,,,,,,,,https://en.wikipedia.org/wiki/Jordan
500,Manchu,"['Tungusic', '\nSouthern', 'Jurchenic', 'Manchu–', 'Xibe', 'Manchu']",,mnc,manc1252,20 native speakers[1] (2007)[2]Thousands of second language speakers[3][4][5],Manchuria, Qing dynasty,,https://en.wikipedia.org/wiki/Manchu_language
501,Deseret_alphabet,,,,,,,,,https://en.wikipedia.org/wiki/Deseret_alphabet
502,Himba,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone B', ')', 'Tsogo languages', ' (B.30)', 'Himba']",,sbw,simb1254,100 (2007)[1],,,,https://en.wikipedia.org/wiki/Himba_language
503,Tongan,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Polynesian', 'Tongic', 'Tongan']",,ton,tong1325,"(187,000
96,000 in Tonga cited 1998)[1]73,000 elsewhere (no date), primarily in NZ, U.S., and Australia[2]
",, Tonga,,https://en.wikipedia.org/wiki/Tongan_language
504,Amoy,"['Sino-Tibetan', 'Sinitic', 'Chinese', 'Min', 'Coastal Min', 'Southern Min', 'Hokkien', 'Amoy']",,–,xiam1236,2 million (2021)[1],"part of Xiamen (Amoy) (Siming and Huli districts), Haicang and Longhai districts to the west",,,https://en.wikipedia.org/wiki/Amoy_dialect
505,Bihar,,,,,,East India,,,https://en.wikipedia.org/wiki/Bihar
506,Tuva,,,,,,,,,https://en.wikipedia.org/wiki/Tuva
507,Glagolitic_alphabet,,,,,,,,,https://en.wikipedia.org/wiki/Glagolitic_alphabet
508,Akkadian,"['Afro-Asiatic', 'Semitic', 'East Semitic', 'Akkadian']","['Old Akkadian', '[2]', '[3]', 'Assyrian', 'Babylonian', '[4]', 'Canaano-Akkadian', '[5]', '[6]']",akk,akka1240,,Mesopotamia,Initially Akkad (central Mesopotamia); lingua franca of the Middle East and Egypt in the late Bronze and early Iron Ages.,,https://en.wikipedia.org/wiki/Akkadian_language
509,Balti,"['Sino-Tibetan', 'Tibeto-Burman', 'Tibeto-Kanauri', ' (?)', 'Bodish', 'Tibetic', 'Ladakhi–Balti', 'Balti']",,bft,balt1258,"425,000 in Pakistan (2018) Total users in all countries: 438,800 (2018)[1]","Baltistan, Ladakh",,,https://en.wikipedia.org/wiki/Balti_language
